2020-08-12 17:54:58,826 INFO  - WORKER OUTPUT: Texture: False
2020-08-12 17:54:58,827 INFO  - WORKER OUTPUT: Export Dwg: False
2020-08-12 17:54:58,829 INFO  - WORKER OUTPUT: Integrate Drawings: False
2020-08-12 17:54:58,830 INFO  - WORKER OUTPUT: Export Dwg Instance(CAD Link): False
2020-08-12 17:54:58,832 INFO  - WORKER OUTPUT: Modify the Rvt File Mode: False
2020-08-12 17:54:58,833 INFO  - WORKER OUTPUT: Export Building Index: False
2020-08-12 17:54:58,835 INFO  - WORKER OUTPUT: Export All View Images: False
2020-08-12 17:54:58,836 INFO  - WORKER OUTPUT: Export Hidden Objects: False
2020-08-12 17:54:58,837 INFO  - WORKER OUTPUT: Export SectionBox: True
2020-08-12 17:54:58,837 INFO  - WORKER OUTPUT: Export Schedules: False
2020-08-12 17:54:58,837 INFO  - WORKER OUTPUT: Export SystemType In UserData: True
2020-08-12 17:54:58,837 INFO  - WORKER OUTPUT: Export Visibility By VoxelAlgo: True
2020-08-12 17:54:58,837 INFO  - WORKER OUTPUT: ConfigFilePath: C:\Job\wd\1652228669273120\input\config.json
2020-08-12 17:54:58,837 INFO  - WORKER OUTPUT: Display Level: FINE
2020-08-12 17:54:58,837 INFO  - WORKER OUTPUT: Set Level Rule: False
2020-08-12 17:54:58,837 INFO  - WORKER OUTPUT: 
2020-08-12 17:55:15,362 INFO  - WORKER OUTPUT: Preparing execution environment
2020-08-12 17:55:15,382 INFO  - WORKER OUTPUT: Start processing C:\Job\wd\1652228669273120\input\10a6297b23034f339051b8d6e69cdedb.rvt
2020-08-12 17:55:15,387 INFO  - WORKER OUTPUT: The language is Chinese_Simplified
2020-08-12 17:55:15,388 INFO  - WORKER OUTPUT: The unit scale is mm
2020-08-12 17:55:18,260 INFO  - WORKER OUTPUT: Document C:\Job\wd\1652228669273120\input\10a6297b23034f339051b8d6e69cdedb.rvt opened
2020-08-12 17:55:18,436 INFO  - WORKER OUTPUT: Can't find user defined view: {3D}
2020-08-12 17:55:18,457 INFO  - WORKER OUTPUT: DefaultView: {ÈýÎ¬}
2020-08-12 17:55:25,412 INFO  - WORKER OUTPUT: File Path: Glodon.Bimface.Common.Manifest.BagFolder
2020-08-12 17:55:25,427 INFO  - WORKER OUTPUT: Task Started: ExportMdSceneTask
2020-08-12 17:55:25,427 INFO  - WORKER OUTPUT: Saving...C:/Job/wd/1652228669273120/f59e14129a8dd342eee5a606342dc862/resource/model
2020-08-12 17:55:25,427 INFO  - WORKER OUTPUT: HELLO GLODON MODEL DRIVE!
2020-08-12 17:55:26,068 INFO  - WORKER OUTPUT: Writing level...
2020-08-12 17:55:26,083 INFO  - WORKER OUTPUT: Writing area...
2020-08-12 17:55:27,865 INFO  - WORKER OUTPUT: Writing project...
2020-08-12 17:55:27,896 INFO  - WORKER OUTPUT: Writing view...
2020-08-12 17:55:27,912 INFO  - WORKER OUTPUT: Writing mepsystem...
2020-08-12 17:55:27,927 INFO  - WORKER OUTPUT: Writing railings...
2020-08-12 17:55:27,990 INFO  - WORKER OUTPUT: Writing ModelSetsTree...
2020-08-12 17:55:28,005 INFO  - WORKER OUTPUT: Writing NestedComponents...
2020-08-12 17:55:28,302 INFO  - WORKER OUTPUT: Export category visibility....
2020-08-12 17:55:28,521 INFO  - WORKER OUTPUT: Exporting elements...
2020-08-12 17:55:30,568 INFO  - WORKER OUTPUT: .....collect rvt links...
2020-08-12 17:55:30,584 INFO  - WORKER OUTPUT: finializing...
2020-08-12 17:55:30,599 INFO  - WORKER OUTPUT: save userdata.gz....
2020-08-12 17:55:30,599 INFO  - WORKER OUTPUT: Translate
2020-08-12 17:55:30,599 INFO  - WORKER OUTPUT: ShapeMatch
2020-08-12 17:55:30,615 INFO  - WORKER OUTPUT: SpatialSubdivision
2020-08-12 17:55:30,615 INFO  - WORKER OUTPUT: Scene LoD...
2020-08-12 17:55:30,630 INFO  - WORKER OUTPUT: Scene f59e14129a8dd342eee5a606342dc862
2020-08-12 17:55:30,630 INFO  - WORKER OUTPUT: PackageMeshes
2020-08-12 17:55:30,630 INFO  - WORKER OUTPUT: Symbol in main scene: 130
2020-08-12 17:55:30,646 INFO  - WORKER OUTPUT: Symbol Package: main-> 1 sub->  1
2020-08-12 17:55:30,709 INFO  - WORKER OUTPUT: Task Completed: ExportMdSceneTask
2020-08-12 17:55:30,724 INFO  - WORKER OUTPUT: Task Started: ExportImageForViewsTask
2020-08-12 17:55:31,693 INFO  - WORKER OUTPUT: We don't export dwg from rvt file.
2020-08-12 17:55:32,099 INFO  - WORKER OUTPUT: {progress: 25, message: "ExportImageForViewsTask"}
2020-08-12 17:55:32,099 INFO  - WORKER OUTPUT: {progress: 25, message: "ExportImageForViewsTask"}
2020-08-12 17:55:32,099 INFO  - WORKER OUTPUT: Task Completed: ExportImageForViewsTask
2020-08-12 17:55:32,099 INFO  - WORKER OUTPUT: Task Started: ExportMaterialTask
2020-08-12 17:55:32,302 INFO  - WORKER OUTPUT: {progress: 50, message: "ExportMaterialTask"}
2020-08-12 17:55:32,302 INFO  - WORKER OUTPUT: {progress: 50, message: "ExportMaterialTask"}
2020-08-12 17:55:32,302 INFO  - WORKER OUTPUT: Task Completed: ExportMaterialTask
2020-08-12 17:55:32,302 INFO  - WORKER OUTPUT: Task Started: GenerateManifestTask
2020-08-12 17:55:32,302 INFO  - WORKER OUTPUT: {progress: 75, message: "GenerateManifestTask"}
2020-08-12 17:55:32,302 INFO  - WORKER OUTPUT: {progress: 75, message: "GenerateManifestTask"}
2020-08-12 17:55:32,302 INFO  - WORKER OUTPUT: Task Completed: GenerateManifestTask
